system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo,longitude,latitude
2302,57.36566111000002,0.0709596748984057,0.0964477706334984,-0.143035053661038,21824.0,0.0,9443.5,10113.5,11698.0,12858.0,15603.0,17986.5,16312.0,224.0,6364.5,53105.5,13981.5,1465.0,9641.5,66.0,230.0,12008.0,3060.5,"{""type"":""Point"",""coordinates"":[81.68400290174228,21.172830451533354]}",81.68400290174228,21.172830451533354
1280,57.36566111000002,0.076495058424525,0.1218978337142305,-0.1739306163691478,21824.0,0.0,9752.5,10445.5,12263.0,13640.0,17427.0,20314.0,17763.5,160.0,6355.5,53105.5,14017.0,1469.0,9670.0,90.0,235.0,12027.5,3069.5,"{""type"":""Point"",""coordinates"":[81.6677117492807,21.13673318102578]}",81.6677117492807,21.13673318102578
1472,57.32464487000004,0.0589646341858731,0.0994338086311045,-0.1358478754206119,21824.0,0.0,8866.5,9537.0,11043.0,11889.5,14515.0,16334.0,14433.5,224.0,6358.0,53093.5,14053.0,1468.5,9589.0,179.0,263.0,11958.0,3068.5,"{""type"":""Point"",""coordinates"":[81.64736269411775,21.151011626771222]}",81.64736269411775,21.151011626771222
1050,57.31951784,0.0629868747782901,0.1230230264276725,-0.1688615123194562,21824.0,0.0,9501.0,10190.5,11739.0,12892.0,16509.0,18728.5,16136.5,224.0,6367.5,53092.0,13983.5,1464.5,9632.0,55.0,228.0,11997.0,3059.5,"{""type"":""Point"",""coordinates"":[81.67967024792473,21.19549285363103]}",81.67967024792473,21.19549285363103
2048,57.30242773999999,0.0812200279163614,0.113657302712029,-0.1635135371637585,21824.0,0.0,9701.5,10382.0,11949.0,13228.0,16620.5,19559.0,17248.5,160.0,6367.5,53087.0,13979.0,1464.5,9673.0,71.0,230.0,12029.0,3059.0,"{""type"":""Point"",""coordinates"":[81.68275792340275,21.192814919157012]}",81.68275792340275,21.192814919157012
876,57.295591700000045,0.0782903463522476,0.0974466964990787,-0.1438343636829205,21824.0,0.0,9363.5,10039.0,11702.5,12858.0,15634.5,18290.5,16383.5,192.0,6356.0,53085.0,14013.0,1468.0,9718.0,68.0,230.0,12058.5,3068.0,"{""type"":""Point"",""coordinates"":[81.671782426989,21.12374486982149]}",81.671782426989,21.12374486982149
1307,57.28533764000002,0.0718781693201758,0.0842924847664184,-0.1270672870156781,21824.0,0.0,8939.0,9610.0,11163.5,12172.5,14413.5,16646.0,14696.5,224.0,6365.5,53082.0,13929.5,1463.5,9729.5,82.0,232.0,12070.0,3058.0,"{""type"":""Point"",""coordinates"":[81.71789086188808,21.165878950156788]}",81.71789086188808,21.165878950156788
1520,57.28021061000004,0.0747317526461748,0.115299800483041,-0.1553774747987526,21824.0,0.0,9592.0,10241.5,11646.5,12637.5,15931.5,18505.0,16081.0,160.0,6362.0,53080.5,14039.0,1467.0,9603.5,147.0,251.0,11968.0,3065.5,"{""type"":""Point"",""coordinates"":[81.65091910633778,21.181083352012195]}",81.65091910633778,21.181083352012195
813,57.26141150000001,0.0486540880503144,0.08756255152712,-0.1241824884061992,21824.0,0.0,9235.0,9853.0,11048.0,11897.5,14181.0,15631.5,14392.5,160.0,6355.0,53075.0,14191.5,1470.5,9668.0,138.0,247.0,12016.0,3072.0,"{""type"":""Point"",""coordinates"":[81.58779030439723,21.124066009299575]}",81.58779030439723,21.124066009299575
1694,57.25799347999998,0.0384925720252503,0.135262361534007,-0.1648107331097268,21824.0,0.0,8744.0,9367.0,10894.0,11573.0,15193.5,16410.0,14092.5,209.0,6358.0,53074.0,13958.0,1467.5,9689.5,121.0,242.0,12031.5,3066.0,"{""type"":""Point"",""coordinates"":[81.70113819676081,21.148807977053828]}",81.70113819676081,21.148807977053828
2386,57.252866450000056,0.0452740758979409,0.1183617550564228,-0.1499110320284697,21824.0,0.0,9094.0,9860.5,11466.0,12227.0,15510.0,16981.0,15086.0,224.0,6352.5,53072.5,14082.5,1471.0,9683.5,87.0,234.0,12026.5,3073.5,"{""type"":""Point"",""coordinates"":[81.63548391553496,21.130702189762367]}",81.63548391553496,21.130702189762367
1461,57.23406734000002,0.0812786111001174,0.1030681260196727,-0.1596036966114395,21824.0,0.0,9869.5,10703.0,12617.5,14156.5,17410.0,20490.5,18286.0,192.0,6358.5,53067.0,14001.5,1467.0,9711.5,54.0,228.0,12047.0,3065.5,"{""type"":""Point"",""coordinates"":[81.67718749627997,21.129434672953785]}",81.67718749627997,21.129434672953785
1796,57.22039526000003,0.0612269458735746,0.1229598171708265,-0.1647535322993075,21824.0,0.0,9142.5,9806.0,11187.5,12184.5,15601.0,17636.0,14942.0,224.0,6366.5,53063.0,13975.0,1465.0,9657.0,91.0,234.0,12006.5,3059.5,"{""type"":""Point"",""coordinates"":[81.68551202350432,21.187943113165502]}",81.68551202350432,21.187943113165502
2342,57.20330516000001,0.0749604271188259,0.1108998936752907,-0.1636713410621171,21824.0,0.0,9859.0,10634.0,12390.0,13797.5,17239.5,20033.5,17565.5,224.0,6361.0,53058.0,13999.5,1467.0,9673.0,76.0,231.0,12015.5,3065.0,"{""type"":""Point"",""coordinates"":[81.6742593388351,21.166320130573233]}",81.6742593388351,21.166320130573233
970,57.18621506,0.0797599122756391,0.097195940134182,-0.1436256051640667,21824.0,0.0,9732.0,10367.0,11940.0,13120.0,15945.0,18709.0,16384.0,160.0,6367.0,53053.0,10777.0,1465.0,9676.0,99.0,236.0,12021.0,3061.0,"{""type"":""Point"",""coordinates"":[81.65246556311563,21.2096167385525]}",81.65246556311563,21.2096167385525
1108,57.18450604999998,0.0855579998810868,0.1240225096835489,-0.1641593339010313,21824.0,0.0,9058.0,9738.0,11042.5,11986.0,15380.0,18258.0,15337.5,209.0,6375.0,53052.5,13890.0,1458.5,9672.0,84.0,232.0,12014.5,3047.0,"{""type"":""Point"",""coordinates"":[81.7460719656135,21.181770151574366]}",81.7460719656135,21.181770151574366
1184,57.16741595000002,0.074401958937653,0.1305948356724421,-0.1711797598313319,21824.0,0.0,9208.0,9875.5,11302.0,12281.0,15970.5,18538.0,15860.0,224.0,6365.5,53047.5,13933.0,1464.5,9675.0,78.0,231.0,12013.5,3059.5,"{""type"":""Point"",""coordinates"":[81.7137743762916,21.176656401144225]}",81.7137743762916,21.176656401144225
966,57.16741595000002,0.0923488216662307,0.1069175703451697,-0.1516905718815678,21824.0,0.0,9513.5,10156.0,11503.5,12600.5,15617.5,18795.5,16443.0,209.0,6364.5,53047.5,13998.5,1465.5,9721.5,93.0,234.0,12051.5,3061.5,"{""type"":""Point"",""coordinates"":[81.6742264499251,21.170029613134627]}",81.6742264499251,21.170029613134627
511,57.13152674000003,0.0670068683152601,0.1017026345291479,-0.1478264043508413,21824.0,0.0,9297.5,9967.0,11673.5,12820.5,15723.5,17982.0,15586.0,224.0,6355.5,53037.0,14115.5,1470.0,9719.5,90.0,234.0,12044.5,3071.0,"{""type"":""Point"",""coordinates"":[81.6191325768991,21.135204103189828]}",81.6191325768991,21.135204103189828
129,57.070002380000005,0.0745495298809419,0.1248230965185394,-0.1623281661304475,21824.0,0.0,9386.0,9987.0,11456.0,12368.0,15896.0,18457.0,15824.0,224.0,6366.0,53019.0,10918.0,1465.0,9650.0,75.0,231.0,11983.0,3061.0,"{""type"":""Point"",""coordinates"":[81.67752057939742,21.195156607727437]}",81.67752057939742,21.195156607727437
1079,57.04949426000002,0.0488698375058902,0.1471208315764386,-0.1783582230089828,21824.0,0.0,9079.5,9627.0,10907.5,11630.5,15643.0,17250.5,14323.5,224.0,6354.0,53013.0,14110.0,1470.0,9676.5,74.0,231.0,11998.0,3072.0,"{""type"":""Point"",""coordinates"":[81.62394290438549,21.117185130781447]}",81.62394290438549,21.117185130781447
