system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo
703,47.56619777000003,0.004857853529873295,0.1312433581296493,-0.1439866433821413,21824.0,0.0,9138.5,9754.5,11151.5,11445.0,14903.0,15048.5,12908.5,224.0,6209.0,50238.5,4972.0,1508.5,9606.0,89.0,248.0,10884.5,3170.5,"{""type"":""Point"",""coordinates"":[81.71822710463165,21.31724222798583]}"
704,44.71386008000002,-0.08036358389842735,0.27085419459954857,-0.25450250464909785,21824.0,0.0,8743.5,9241.0,11124.5,10740.5,18720.0,15935.0,12952.0,209.0,6190.0,49404.0,5300.0,1514.0,9685.0,97.0,412.5,10645.5,3184.0,"{""type"":""Point"",""coordinates"":[81.73010231421733,21.223359755698613]}"
705,42.72457244000003,0.0015944811428199538,0.10701399913407418,-0.12330672914988651,21824.0,0.0,9482.0,10175.0,11973.0,12375.0,15341.0,15390.0,14012.0,224.0,6001.0,48822.0,198.0,1566.0,9705.0,76.0,328.0,10088.0,3316.0,"{""type"":""Point"",""coordinates"":[81.61131946840453,21.2304402260349]}"
706,45.35473883000003,0.051354617145764433,0.09930724445427076,-0.12530647655690091,21824.0,0.0,8866.0,9660.5,11594.5,12221.5,14916.5,16531.5,14279.5,209.0,6199.5,49591.5,5351.5,1508.5,9535.0,359.0,387.0,10601.0,3172.5,"{""type"":""Point"",""coordinates"":[81.75606733887054,21.222499344008547]}"
707,45.559820030000026,0.03122944950240395,0.15767598623893264,-0.17871303853060935,21824.0,0.0,8939.5,10040.0,11547.5,12058.5,16573.0,17641.5,14880.5,209.0,6188.5,49651.5,5264.0,1515.0,9683.0,83.0,437.0,10730.5,3186.5,"{""type"":""Point"",""coordinates"":[81.72340394232437,21.229049719328003]}"
708,51.765235340000004,0.07986070467049046,0.10032894736842106,-0.15372337497936045,21824.0,0.0,9528.0,10015.5,11532.0,12854.5,15721.5,18450.5,16164.5,224.0,6185.0,51467.0,739.5,1517.0,9640.5,83.0,244.5,10855.5,3190.5,"{""type"":""Point"",""coordinates"":[81.49139369007344,21.281036911815203]}"
709,46.846704560000035,-0.07396070507697643,0.24884275494459251,-0.24172318206384352,21824.0,0.0,8578.0,9183.5,10873.5,10710.0,17806.0,15353.5,12101.0,224.0,6201.5,50028.0,5250.5,1508.5,9539.0,358.0,419.5,10758.5,3172.0,"{""type"":""Point"",""coordinates"":[81.74982288617568,21.235020761585783]}"
710,41.82221516000004,-0.04594278822598274,0.1702791599898794,-0.16546279186964555,21824.0,0.0,8269.0,8773.0,9936.0,9838.0,13876.0,12657.0,10648.0,224.0,6032.0,48558.0,509.0,1558.0,9640.0,120.0,265.0,10150.0,3295.0,"{""type"":""Point"",""coordinates"":[81.66318101857065,21.355526602504053]}"
711,48.93511478000005,0.02236464833867431,0.0857121450513224,-0.11310826900180512,21824.0,0.0,9240.0,10080.0,11546.0,12203.0,14491.0,15154.0,14229.0,224.0,6373.0,50639.0,10382.0,1464.0,9683.0,94.0,228.0,11145.0,3057.0,"{""type"":""Point"",""coordinates"":[81.65376451142431,21.245532102734657]}"
712,48.94878686000004,0.03669781165478239,0.1274506277204216,-0.1331983512907658,21824.0,0.0,9942.0,10314.0,11987.0,12128.0,15671.0,16865.0,15022.0,224.0,6009.0,50643.0,581.0,1567.0,9617.0,169.0,277.0,10666.0,3317.0,"{""type"":""Point"",""coordinates"":[81.61849731655403,21.345703826348423]}"
713,50.73299330000003,0.03352847259180415,0.14926317692794502,-0.20656816527984306,21824.0,0.0,9923.0,10865.0,12539.0,14115.0,19068.0,20391.0,16283.0,160.0,6359.0,51165.0,11062.0,1470.0,9667.0,135.0,240.0,11317.0,3071.0,"{""type"":""Point"",""coordinates"":[81.5966769811161,21.189548006729698]}"
714,47.37649766000004,-0.003921355046021459,0.1834422098454328,-0.21150180742688138,21824.0,0.0,9325.5,10140.0,11997.0,12718.5,18433.0,18289.0,14596.5,224.0,5891.5,50183.0,5724.5,1598.0,9662.0,135.0,309.0,10774.5,3397.5,"{""type"":""Point"",""coordinates"":[81.5954052433475,21.16594157494666]}"
715,38.37001496000005,-0.12638394302363223,0.28046222353071065,-0.25293482175009,21824.0,0.0,8465.0,8829.0,10373.0,9776.0,17397.0,13493.0,10963.0,224.0,5986.0,47548.0,496.0,1573.0,9697.0,123.0,287.0,9957.0,3331.0,"{""type"":""Point"",""coordinates"":[81.5721867270224,21.23760593880488]}"
716,47.81742224000004,0.02877853177051203,0.14639918444622443,-0.1803715019399824,21824.0,0.0,9070.0,9615.5,10932.0,11722.5,15743.5,16676.5,14244.0,209.0,6179.0,50312.0,665.0,1519.0,9630.5,61.0,240.0,10671.5,3195.0,"{""type"":""Point"",""coordinates"":[81.5156803606064,21.25514283245666]}"
717,54.46547113999998,0.037650284750052734,0.13178294573643412,-0.19074805076175252,21824.0,0.0,9397.0,10488.0,12403.0,14000.0,18250.0,19678.0,15960.5,209.0,6359.5,52257.0,13971.0,1467.0,9722.5,51.0,225.0,11754.0,3064.5,"{""type"":""Point"",""coordinates"":[81.69295960828197,21.150750285529053]}"
718,53.523806630000024,0.048890869818630646,0.10901894938834253,-0.11784498216912136,21824.0,0.0,9216.5,9997.5,10946.0,11143.5,13870.5,15296.5,14790.5,224.0,6193.5,51981.5,4956.0,1515.0,9662.0,105.0,286.5,11522.5,3184.5,"{""type"":""Point"",""coordinates"":[81.64158659648082,21.30398922134803]}"
719,44.61302849000003,-0.02165135059871902,0.17536342156902007,-0.17850187717079244,21824.0,0.0,8440.0,8894.5,10229.5,10296.0,14675.0,14053.0,11877.5,224.0,6180.5,49374.5,761.0,1519.0,9768.0,114.0,243.0,10379.0,3195.0,"{""type"":""Point"",""coordinates"":[81.50507306790476,21.277287109596053]}"
720,40.85833352000003,-0.14771177741347347,0.3012889552861064,-0.28064416863268027,21793.0,0.0,8305.5,8883.0,10519.5,10055.5,18727.5,13907.0,10997.0,224.0,6190.5,48276.0,5018.5,1515.5,9711.0,89.0,450.0,10298.5,3187.0,"{""type"":""Point"",""coordinates"":[81.67057214676858,21.27535565127945]}"
721,46.48097642000005,0.004046873350459232,0.157782777664144,-0.16001311582916633,21824.0,0.0,8740.0,9092.0,10247.0,10294.0,14151.0,14266.0,12000.0,224.0,6005.0,49921.0,415.0,1566.0,9726.0,90.0,268.0,10565.0,3316.0,"{""type"":""Point"",""coordinates"":[81.60207726372805,21.287320576567904]}"
